resultado_id;medalla;deportista_id;juego_id;evento_id
86983;NA;44117;27;75
86984;Bronze;44118;27;294
86985;Silver;44118;27;350
86986;Gold;44118;27;231
86987;Bronze;44119;19;3
86988;NA;44120;38;14
86989;Silver;44121;47;88
86990;NA;44121;49;88
86991;NA;44122;35;333
86992;NA;44122;37;333
86993;NA;44123;32;8
86994;NA;44124;27;231
86995;NA;44125;48;14
86996;NA;44126;35;136
86997;NA;44126;35;71
86998;NA;44127;23;208
86999;NA;44127;23;98
87000;NA;44128;43;19
87001;NA;44128;43;54
87002;NA;44128;45;387
87003;NA;44128;45;19
87004;NA;44129;23;208
87005;NA;44129;23;98
87006;Gold;44130;43;125
87007;Bronze;44131;45;83
87008;NA;44132;7;104
87009;NA;44132;7;148
87010;NA;44133;51;161
87011;Gold;44134;15;114
87012;NA;44135;29;44
87013;NA;44136;18;14
87014;NA;44136;20;14
87015;NA;44136;22;14
87016;Bronze;44137;50;370
87017;NA;44137;50;248
87018;NA;44137;50;247
87019;NA;44137;50;299
87020;Gold;44138;29;3
87021;NA;44139;22;63
87022;NA;44139;22;10
87023;NA;44139;24;63
87024;NA;44139;24;10
87025;NA;44140;49;75
87026;NA;44141;41;168
87027;NA;44142;23;57
87028;NA;44142;23;58
87029;NA;44143;38;370
87030;NA;44143;40;370
87031;NA;44143;40;248
87032;NA;44143;42;370
87033;NA;44143;48;627
87034;NA;44144;25;120
87035;NA;44145;15;110
87036;NA;44146;19;3
87037;NA;44147;15;105
87038;NA;44147;15;57
87039;NA;44148;31;219
87040;NA;44148;31;146
87041;Bronze;44148;33;219
87042;NA;44149;9;101
87043;NA;44150;39;183
87044;NA;44150;41;183
87045;NA;44150;41;381
87046;NA;44151;49;15
87047;NA;44151;51;52
87048;NA;44152;39;103
87049;NA;44153;41;330
87050;NA;44154;19;56
87051;NA;44154;19;105
87052;NA;44154;19;106
87053;NA;44154;23;105
87054;NA;44154;23;153
87055;NA;44155;25;3
87056;NA;44156;45;137
87057;NA;44157;31;116
87058;NA;44157;31;143
87059;NA;44158;15;104
87060;NA;44158;15;163
87061;NA;44159;51;3
87062;NA;44160;47;17
87063;NA;44161;25;104
87064;NA;44161;25;148
87065;NA;44162;21;297
87066;NA;44162;21;298
87067;NA;44163;23;109
87068;NA;44164;35;209
87069;NA;44164;37;209
87070;NA;44165;19;104
87071;NA;44165;19;116
87072;NA;44166;19;105
87073;NA;44166;19;57
87074;NA;44166;19;58
87075;NA;44166;19;153
87076;NA;44166;19;106
87077;NA;44167;27;142
87078;NA;44168;5;68
87079;NA;44169;35;109
87080;NA;44170;27;120
87081;NA;44171;13;15
87082;NA;44171;13;292
87083;NA;44172;48;63
87084;NA;44172;48;8
87085;NA;44172;48;559
87086;NA;44172;50;63
87087;NA;44172;50;8
87088;NA;44172;50;559
87089;NA;44173;43;275
87090;Gold;44174;43;90
87091;NA;44175;51;304
87092;NA;44176;45;75
87093;NA;44176;45;437
87094;NA;44177;39;143
87095;NA;44178;38;7
87096;NA;44178;38;8
87097;NA;44178;38;9
87098;NA;44178;38;10
87099;NA;44178;40;7
87100;NA;44178;40;11
87101;NA;44178;40;8
87102;NA;44178;40;9
87103;NA;44178;42;7
87104;NA;44178;42;8
87105;NA;44178;42;9
87106;NA;44178;42;10
87107;NA;44178;44;11
87108;NA;44178;44;8
87109;NA;44178;44;504
87110;NA;44178;46;8
87111;Bronze;44179;47;1
87112;NA;44179;49;1
87113;NA;44180;39;369
87114;Gold;44181;45;1
87115;Bronze;44181;47;1
87116;NA;44181;49;1
87117;NA;44182;51;52
87118;NA;44183;39;71
87119;NA;44184;35;387
87120;NA;44184;35;19
87121;NA;44184;35;188
87122;NA;44184;37;387
87123;NA;44184;37;19
87124;NA;44185;48;370
87125;NA;44185;48;248
87126;NA;44185;48;247
87127;NA;44185;48;121
87128;NA;44185;48;299
87129;NA;44185;50;247
87130;NA;44185;50;121
87131;NA;44185;50;299
87132;NA;44186;45;55
87133;NA;44187;27;120
87134;NA;44187;29;120
87135;NA;44188;15;68
87136;NA;44189;51;45
87137;NA;44190;17;146
87138;NA;44191;51;199
87139;NA;44192;51;3
87140;NA;44193;25;1
87141;NA;44193;27;1
87142;NA;44194;17;150
87143;NA;44194;19;292
87144;NA;44194;19;108
87145;NA;44195;25;92
87146;NA;44196;9;109
87147;NA;44197;15;30
87148;NA;44198;43;235
87149;NA;44198;43;439
87150;NA;44199;49;3
87151;NA;44200;45;98
87152;NA;44200;47;98
87153;NA;44200;49;79
87154;Silver;44201;21;47
87155;NA;44202;37;149
87156;NA;44203;15;295
87157;NA;44203;15;296
87158;NA;44204;44;203
87159;NA;44204;44;51
87160;NA;44204;46;203
87161;Gold;44205;39;235
87162;Gold;44205;39;439
87163;Gold;44205;41;235
87164;Silver;44205;41;439
87165;NA;44206;15;212
87166;NA;44207;49;342
87167;NA;44207;49;464
87168;NA;44207;51;464
87169;NA;44208;6;294
87170;NA;44209;31;47
87171;NA;44209;35;47
87172;Gold;44210;6;68
87173;NA;44211;9;21
87174;Bronze;44211;9;22
87175;NA;44211;9;24
87176;Gold;44211;9;25
87177;NA;44211;9;26
87178;NA;44211;9;27
87179;NA;44211;9;28
87180;Bronze;44211;9;487
87181;NA;44211;9;692
87182;NA;44211;11;21
87183;Gold;44211;11;22
87184;NA;44211;11;24
87185;NA;44211;11;25
87186;NA;44211;11;26
87187;NA;44211;11;27
87188;NA;44211;11;28
87189;NA;44212;24;226
87190;Silver;44213;37;387
87191;NA;44213;37;54
87192;NA;44213;39;387
87193;NA;44213;39;19
87194;NA;44213;41;387
87195;Silver;44213;41;19
87196;NA;44213;41;54
87197;NA;44213;43;387
87198;NA;44213;43;54
87199;NA;44214;6;142
87200;NA;44215;13;620
87201;NA;44216;4;181
87202;NA;44216;5;104
87203;NA;44216;5;148
87204;NA;44216;5;116
87205;NA;44216;5;101
87206;NA;44216;5;181
87207;NA;44217;26;59
87208;NA;44217;26;60
87209;NA;44217;28;60
87210;NA;44218;20;14
87211;NA;44219;47;78
87212;NA;44220;45;107
87213;NA;44221;9;21
87214;Bronze;44221;9;22
87215;NA;44221;9;24
